round,mean_train_loss,mean_train_accuracy,mean_test_loss,mean_test_accuracy,total_train_examples,num_agents,num_encounters,unpaired_agents
1,0.6270324786653136,0.7132713271327132,0.7202361113166809,0.5,19998,10,5,0
2,0.578273812866453,0.7121212121212122,0.7420496164798737,0.5,19998,10,5,0
3,0.5463867442715358,0.7251225122512251,0.763000984697342,0.5,19998,10,5,0
4,0.544168599939259,0.7223222322232223,0.7465875906085968,0.5,19998,10,5,0
5,0.5482097972918003,0.7194719471947195,0.7606863554668427,0.5,19998,10,5,0
6,0.545510313000017,0.717021702170217,0.7741840552902222,0.50044,19998,10,5,0
7,0.5433170801819008,0.7217721772177218,0.7996385372257233,0.5,19998,10,5,0
8,0.5416316006301712,0.716071607160716,0.775853691034317,0.5,19998,10,5,0
9,0.5413689218915672,0.7147714771477147,0.7379081962394715,0.5,19998,10,5,0
10,0.5451110921109399,0.7117711771177118,0.8002881432056427,0.50004,19998,10,5,0
11,0.5385356097232432,0.7219221922192219,0.7421283324623109,0.49992000000000003,19998,10,5,0
12,0.5385153161985676,0.7178717871787179,0.794898131046295,0.49664,19998,10,5,0
13,0.5377140126510276,0.7191219121912191,0.7215791714096069,0.50032,19998,10,5,0
14,0.5385420414440223,0.7203220322032203,0.8050564125537871,0.49876000000000004,19998,10,5,0
15,0.5343322061111789,0.7202720272027203,0.8615849319744111,0.49996,19998,10,5,0
16,0.5325367717162343,0.7209220922092209,0.8362995472669603,0.5,19998,10,5,0
17,0.5324147516205469,0.7196219621962197,0.9342971354258062,0.5,19998,10,5,0
18,0.5302604400292106,0.7187218721872187,0.9035435770273207,0.50316,19998,10,5,0
19,0.5318162236012484,0.720972097209721,0.889578496851921,0.4998,19998,10,5,0
20,0.5339607664225421,0.7208720872087209,0.7043364826774596,0.50076,19998,10,5,0
21,0.5346146029802916,0.7216721672167217,0.7605477098178864,0.5022399999999999,19998,10,5,0
22,0.5334756772516995,0.7223722372237223,0.8725989249324799,0.5,19998,10,5,0
23,0.5306769187909772,0.7242724272427242,0.7723398429870605,0.5,19998,10,5,0
24,0.5326518934756198,0.7229222922292229,0.9045304105472564,0.4998,19998,10,5,0
25,0.5302836176317961,0.7223722372237223,0.8802539693260192,0.5,19998,10,5,0
26,0.529869971036835,0.7257725772577258,0.9102286775279044,0.50028,19998,10,5,0
27,0.5302277699780531,0.7202220222022202,0.9065922458028794,0.5,19998,10,5,0
28,0.527853823456094,0.7235723572357236,0.8293104850053787,0.5003200000000001,19998,10,5,0
29,0.5328621442272964,0.7227722772277227,0.8958843188118936,0.49996,19998,10,5,0
30,0.5288159953232742,0.723072307230723,0.7225431224632264,0.50064,19998,10,5,0
31,0.5318637041540647,0.7216221622162217,0.7703452790164947,0.50032,19998,10,5,0
32,0.5323145972406104,0.723022302230223,0.8632638668966294,0.49996,19998,10,5,0
33,0.5302350985751387,0.7242224222422242,0.8589277165126801,0.49992000000000003,19998,10,5,0
34,0.5308369641094086,0.7236723672367237,0.9588656907272339,0.5,19998,10,5,0
35,0.5279397072136575,0.722972297229723,0.8503351129055025,0.49996,19998,10,5,0
36,0.5300646452234127,0.7235223522352235,0.7640390002632141,0.5007199999999999,19998,10,5,0
37,0.5289688887427969,0.7221722172217222,0.9033754610085486,0.50072,19998,10,5,0
38,0.5292456894120102,0.7243224322432243,0.8198560315322876,0.5032399999999999,19998,10,5,0
39,0.530557966725056,0.7242724272427242,0.8748781197547911,0.5002,19998,10,5,0
40,0.5293275043986799,0.7238723872387238,0.8743633985495567,0.50004,19998,10,5,0
41,0.5299838717584641,0.723072307230723,0.9116954838275909,0.50004,19998,10,5,0
42,0.5287009471121527,0.7254225422542254,0.8172407978391648,0.50376,19998,10,5,0
43,0.5270481583605422,0.7263226322632264,1.0082362000966072,0.49996,19998,10,5,0
44,0.5254600722039461,0.7281728172817282,0.8254087573575972,0.50572,19998,10,5,0
45,0.5293609302949486,0.7254725472547254,0.7764648830795287,0.5034,19998,10,5,0
46,0.5312072338400581,0.723022302230223,0.7931380806636811,0.5051599999999998,19998,10,5,0
47,0.5298585419442774,0.7252725272527253,0.879387219312191,0.50412,19998,10,5,0
48,0.5291650567102422,0.7238223822382238,0.9020558756256104,0.50032,19998,10,5,0
49,0.5276930916394786,0.7254725472547254,1.002330777928829,0.5,19998,10,5,0
50,0.5252401479240013,0.7273727372737274,0.9772016984891894,0.50068,19998,10,5,0
