round,train_loss,train_accuracy,test_loss,test_accuracy,participating_clients,total_client_examples,alignment_mean,alignment_min,alignment_max,non_positive_alignments,direction_norm
1,0.6272933729971298,0.7126712671267127,0.6944510643005372,0.4994,10,19998,0.0,0.0,0.0,10,0.0
2,0.6107380419436044,0.695019501950195,0.8114791200637818,0.5,10,19998,0.021743241447913998,-0.5809988921280722,0.8679276595765368,6,0.09726742645590873
3,0.6386438601761416,0.6169116911691169,1.1653905824661255,0.5,10,19998,-0.5430543315018925,-0.985073876460446,0.952877842596946,8,0.30902259527881737
4,0.6783048866106363,0.6008600860086009,1.341750177717209,0.5,10,19998,-0.7595057235108811,-0.9976519182946352,0.9804266336536088,9,0.2006669588689385
5,0.6940585055140475,0.5962596259625963,0.7074330456733704,0.5,10,19998,-0.8612929997137648,-0.9683629306172736,-0.21369735980788587,10,0.05727744462876232
6,0.5944893009739347,0.6718671867186718,0.7124891862869263,0.5,10,19998,0.23941400488110248,-0.9907131162281572,0.8750995688366382,3,0.4356721841590737
7,0.5753207859983801,0.6919191919191919,0.9650190969705582,0.5,10,19998,-0.20274180174030812,-0.9912939623225187,0.9491091066470283,6,0.2374527695094352
8,0.5952374398107022,0.667016701670167,1.2145383021950722,0.5,10,19998,-0.38640110811182865,-0.9981346191797169,0.9780716866058152,7,0.25671046717773427
9,0.6110610763477807,0.6628662866286629,1.595937438839674,0.5,10,19998,-0.541400675590175,-0.9909330145277165,0.9908954685558504,8,0.0969814264067828
10,0.6312375013560134,0.6588158815881588,2.0992232221663,0.5,10,19998,-0.7424433542534734,-0.990185920629071,0.9944615052021096,9,0.09632822441009076
11,0.6533158008791212,0.6573157315731574,2.340723254816234,0.5,10,19998,-0.7576406125125156,-0.9972106158152223,0.9963141117655011,9,0.09069149558124733
12,0.6661814219121894,0.654915491549155,2.430175414173305,0.5,10,19998,-0.759781964255246,-0.9893957757926796,0.9291352166319081,9,0.03629199964515009
13,0.6679721312599816,0.6562656265626563,2.451957380923629,0.5,10,19998,-0.7096158513997185,-0.9053735217093293,0.6771277483217938,9,0.013923880790647752
14,0.6698287925802648,0.6554655465546555,2.4522922922357915,0.5,10,19998,-0.4893400731863178,-0.6292359022658421,0.5639295834485689,9,0.004858238777639209
15,0.6681646652497721,0.6574157415741574,2.4248814824163913,0.5,10,19998,0.020235185671339577,-0.11148771835277177,0.6757744064006901,8,0.0047145204650867675
16,0.6690551576776766,0.6544154415441544,0.6941947102546692,0.5008,10,19998,0.42122694744619427,0.025051750062581306,0.5209792093249916,0,0.007623913489743262
17,0.561034801607505,0.7179217921792179,0.7746311126708985,0.5,10,19998,-0.1576239463350633,-0.9952046068543002,0.734807669829857,5,0.6074323105145647
18,0.5762882155798139,0.6793179317931793,0.960321253490448,0.5,10,19998,-0.44252192203775415,-0.9862088598342654,0.9552459095045325,7,0.2028471973876209
19,0.5937368345401898,0.6692669266926693,1.3850931925296783,0.5,10,19998,-0.6850559464329988,-0.9656230680459342,0.9821284633260736,9,0.12473063204536215
20,0.6297012805448423,0.6587658765876587,0.6947399594306946,0.5,10,19998,-0.8254100819739161,-0.9863184497481758,-0.027419927839030755,10,0.14136586715822672
21,0.5512254501242425,0.716071607160716,0.776205860042572,0.5,10,19998,0.20196002990889333,-0.9930370311103315,0.904613370016747,3,0.3621862383675263
22,0.5506374716856713,0.7053705370537053,1.1886972720623017,0.5,10,19998,-0.37664633845032097,-0.9863681043227399,0.9720513760250052,7,0.1639583144547886
23,0.5732825561349738,0.6940694069406941,1.8590130505084992,0.5,10,19998,-0.5661109855574142,-0.9942608664271302,0.9634237988329988,8,0.1801461674226363
24,0.6038509424195008,0.6891689168916891,2.2925507021725178,0.5,10,19998,-0.7564353617592329,-0.9966404024965587,0.9976724834524106,9,0.14303723799156767
25,0.6218202246661748,0.6876187618761876,2.3930297347083687,0.5,10,19998,-0.7603953951939418,-0.9962476458209306,0.9585219616011575,9,0.06578940231637148
26,0.6263462979831222,0.6876687668766877,2.4559611945271493,0.5,10,19998,-0.7291923045898512,-0.9531461473643899,0.9059521368335797,9,0.014360644043374221
27,0.626402275062947,0.6870687068706871,2.473584826788306,0.5,10,19998,-0.7475479939812928,-0.9137431960403047,0.4076508079010682,9,0.009092020594306287
28,0.6300877491408067,0.6857185718571858,2.4763892707914112,0.5,10,19998,-0.2677993170887854,-0.3723704291343647,0.5387207288698146,9,0.006134698937536317
29,0.6289000560749624,0.685018501850185,2.4801256177186968,0.5,10,19998,0.011893371764762564,-0.08705643820429504,0.728708978793953,9,0.005803447483550199
30,0.6302963119514198,0.6843684368436843,2.4884221304520966,0.5,10,19998,-0.07634747636846215,-0.14882186084319196,0.3587044742249506,9,0.0042241330480128295
31,0.6281299784089184,0.6862686268626863,2.5051151459336283,0.5,10,19998,-0.1011687486305893,-0.1871834224048641,0.557043381004699,9,0.006153058578053097
32,0.6308400851704835,0.687018701870187,2.455675741651654,0.5,10,19998,-0.22887582434451273,-0.3090250687682462,0.28837658996989735,9,0.007527406511412363
33,0.6291819956489499,0.6855185518551855,0.6929162962913513,0.501,10,19998,0.555847940412601,-0.32430392109850575,0.724069134933542,1,0.009219476091588645
34,0.5482537507621905,0.7193219321932193,0.7804552227020264,0.5,10,19998,-0.2648797952304724,-0.9967421229741322,0.8165493372760554,6,0.5286162229914536
35,0.557963937869144,0.7013201320132013,0.9257944862365722,0.5,10,19998,-0.415421773674443,-0.9657283240478561,0.9575706475990664,7,0.12917264490173108
36,0.5708009321277965,0.6890689068906891,1.2680170205593109,0.5,10,19998,-0.6625068273509618,-0.934546186175599,0.9607365331726121,9,0.08602167565082501
37,0.5989435566556637,0.6778177817781779,1.3750210528373719,0.5,10,19998,-0.7377375394946702,-0.9800081103355825,0.9058808066612467,9,0.11809397078691185
38,0.6052434632606996,0.6768676867686768,1.4023991508483886,0.5,10,19998,-0.6375430297452789,-0.863890187375222,0.7156534986522572,9,0.03170359847355032
